tower,time_UTC,LE_insitu,H_insitu,Rn_insitu,G_insitu
US-Var,2020-02-05 20:30:00,,,389.73,23.736
US-Var,2020-02-13 17:30:00,,,204.83,-1.2695
US-Var,2020-02-21 21:00:00,,,448.39,35.736
US-Var,2020-02-25 19:00:00,,,428.94,24.102
US-Var,2020-02-29 17:30:00,,,280.1,2.2104
US-Var,2020-03-28 00:00:00,,,240.46,24.374
US-Var,2020-03-31 22:30:00,,,496.65,52.097
US-Var,2020-06-02 21:30:00,,,606.53,62.578
US-Var,2020-06-06 20:00:00,,,681.94,48.127
US-Var,2020-06-14 00:30:00,,,270.48,24.273
US-Var,2020-06-14 17:00:00,,,446.67,9.0043
US-Var,2020-06-17 16:00:00,,,296.07,2.457
US-Var,2020-06-17 22:30:00,,,513.86,56.481
US-Tw4,2019-02-11 18:30:00,,,380.135899,-1.1997275
US-Tw4,2019-02-14 17:30:00,,,200.184328,-0.6335815
US-Tw4,2019-05-30 00:00:00,,,462.187735,4.313303
US-Tw4,2019-06-02 22:30:00,,,685.861841,6.002226
US-Tw4,2019-06-09 20:00:00,,,772.857148,-0.117803
US-Tw4,2019-06-13 18:30:00,,,746.155333,5.339884499999999
US-Tw4,2019-06-20 16:00:00,,,407.464956,7.09017
US-Tw4,2019-06-20 22:30:00,,,691.332708,5.3382815
US-Tw4,2019-06-23 21:30:00,,,776.651787,-0.0900039999999999
US-Tw4,2019-07-01 18:00:00,,,675.437283,5.446199
US-Tw4,2019-07-27 01:30:00,,,199.243812,5.2394050000000005
US-Tw4,2019-08-03 22:00:00,,,712.266131,2.7876625
US-Tw4,2019-08-10 19:30:00,,,761.891705,8.660464000000001
US-Tw4,2019-08-14 18:00:00,,,621.11431,5.6660095
US-Tw4,2019-08-17 23:30:00,,,497.276665,7.181358
US-Tw4,2019-08-21 22:00:00,,,668.526457,3.856325
US-Tw4,2019-08-25 20:30:00,,,741.260395,4.335651
US-Tw4,2019-08-29 18:30:00,,,641.44587,10.913203
US-Tw4,2019-09-01 18:00:00,,,581.197851,6.371584
US-Tw4,2019-09-02 17:00:00,,,436.543075,5.6621250000000005
US-Tw4,2019-10-02 22:30:00,,,429.920943,0.2816859999999996
US-Tw4,2019-10-06 20:30:00,,,577.415867,0.0974444999999999
US-Tw4,2019-10-09 20:00:00,,,576.272528,4.173583
US-Tw4,2019-10-17 16:30:00,,,186.394278,3.715814
US-Tw4,2019-10-17 23:00:00,,,288.126617,4.367979500000001
US-Tw4,2019-11-01 17:30:00,,,309.860277,-3.38939
US-Tw4,2019-12-09 19:30:00,,,346.901439,0.6527965
US-Tw4,2020-02-05 20:30:00,,,,-2.388305
US-Tw4,2020-02-13 17:30:00,,,327.123001,-2.236454
US-Tw4,2020-03-31 22:30:00,,,570.301036,2.6059185
US-Tw4,2020-06-02 21:30:00,,,779.824433,0.6241045000000001
US-Tw4,2020-06-06 20:00:00,,,830.013941,4.719153
US-Tw4,2020-06-13 18:00:00,,,700.709707,8.268222000000002
